Wp;Wpolar+;Wpolar-;Dist(W+ + W-);2W+;2W-;
0,000000001;2;2;-6,409375;-6,409375;-6,409375;5E-10
0,000001;2,0000005;1,9999995;-6,409375;-6,409376;-6,409374;0,0000005
0,0001;2,000050001;1,999950001;-6,409375001;-6,409475001;-6,409275001;0,00005
0,001;2,000500062;1,999500063;-6,409375125;-6,410375125;-6,408375125;0,0005
0,1;2,050624902;1,950624902;-6,410624805;-6,510624805;-6,310624805;0,05
0,15;2,076405756;1,926405756;-6,412186512;-6,562186512;-6,262186512;0,075
0,2;2,102498439;1,902498439;-6,414371879;-6,614371879;-6,214371879;0,1
0,25;2,128902443;1,878902443;-6,417179885;-6,667179885;-6,167179885;0,125
0,3;2,155617112;1,855617112;-6,420609224;-6,720609224;-6,120609224;0,15
0,35;2,182641651;1,832641651;-6,424658303;-6,774658303;-6,074658303;0,175
0,4;2,209975124;1,809975124;-6,429325248;-6,829325248;-6,029325248;0,2
0,45;2,237616456;1,787616456;-6,434607913;-6,884607913;-5,984607913;0,225
0,5;2,265564437;1,765564437;-6,440503874;-6,940503874;-5,940503874;0,25
0,55;2,293817723;1,743817723;-6,447010447;-6,997010447;-5,897010447;0,275
0,6;2,322374842;1,722374842;-6,454124683;-7,054124683;-5,854124683;0,3
0,65;2,351234192;1,701234192;-6,461843384;-7,111843384;-5,811843384;0,325
0,7;2,38039405;1,68039405;-6,470163101;-7,170163101;-5,770163101;0,35
0,75;2,409852575;1,659852575;-6,479080149;-7,229080149;-5,729080149;0,375
0,8;2,439607805;1,639607805;-6,488590611;-7,288590611;-5,688590611;0,4
0,85;2,469657673;1,619657673;-6,498690346;-7,348690346;-5,648690346;0,425
0,9;2,5;1,6;-6,509375;-7,409375;-5,609375;0,45
0,95;2,530632506;1,580632506;-6,520640012;-7,470640012;-5,570640012;0,475
1;2,561552813;1,561552813;-6,532480626;-7,532480626;-5,532480626;0,5
1,05;2,592758448;1,542758448;-6,544891896;-7,594891896;-5,494891896;0,525
1,1;2,624246851;1,524246851;-6,557868703;-7,657868703;-5,457868703;0,55
1,15;2,656015377;1,506015377;-6,571405754;-7,721405754;-5,421405754;0,575
1,2;2,688061302;1,488061302;-6,585497604;-7,785497604;-5,385497604;0,6
1,25;2,720381827;1,470381827;-6,600138654;-7,850138654;-5,350138654;0,625
1,3;2,752974084;1,452974084;-6,615323169;-7,915323169;-5,315323169;0,65
1,35;2,785835143;1,435835143;-6,631045286;-7,981045286;-5,281045286;0,675
1,4;2,81896201;1,41896201;-6,64729902;-8,04729902;-5,24729902;0,7
1,45;2,85235164;1,40235164;-6,66407828;-8,11407828;-5,21407828;0,725
1,5;2,886000936;1,386000936;-6,681376873;-8,181376873;-5,181376873;0,75
1,55;2,919906758;1,369906758;-6,699188516;-8,249188516;-5,149188516;0,775
1,6;2,954065923;1,354065923;-6,717506846;-8,317506846;-5,117506846;0,8
1,65;2,988475214;1,338475214;-6,736325427;-8,386325427;-5,086325427;0,825
1,7;3,023131381;1,323131381;-6,755637762;-8,455637762;-5,055637762;0,85
1,75;3,05803115;1,30803115;-6,775437299;-8,525437299;-5,025437299;0,875
1,8;3,09317122;1,29317122;-6,79571744;-8,59571744;-4,99571744;0,9
1,85;3,128548275;1,278548275;-6,81647155;-8,66647155;-4,96647155;0,925
1,9;3,164158983;1,264158983;-6,837692965;-8,737692965;-4,937692965;0,95
1,95;3,2;1,25;-6,859375;-8,809375;-4,909375;0,975
2;3,236067977;1,236067977;-6,881510955;-8,881510955;-4,881510955;1
2,05;3,272359562;1,222359562;-6,904094124;-8,954094124;-4,854094124;1,025
2,1;3,3088714;1,2088714;-6,927117799;-9,027117799;-4,827117799;1,05
2,15;3,345600141;1,195600141;-6,950575282;-9,100575282;-4,800575282;1,075
2,2;3,382542442;1,182542442;-6,974459884;-9,174459884;-4,774459884;1,1
2,25;3,419694969;1,169694969;-6,998764938;-9,248764938;-4,748764938;1,125
2,3;3,457054399;1,157054399;-7,023483798;-9,323483798;-4,723483798;1,15
2,35;3,494617425;1,144617425;-7,048609851;-9,398609851;-4,698609851;1,175
2,4;3,532380758;1,132380758;-7,074136516;-9,474136516;-4,674136516;1,2
2,45;3,570341127;1,120341127;-7,100057253;-9,550057253;-4,650057253;1,225
2,5;3,608495283;1,108495283;-7,126365566;-9,626365566;-4,626365566;1,25
2,55;3,646840003;1,096840003;-7,153055006;-9,703055006;-4,603055006;1,275
2,6;3,685372088;1,085372088;-7,180119177;-9,780119177;-4,580119177;1,3
2,65;3,724088369;1,074088369;-7,207551737;-9,857551737;-4,557551737;1,325
2,7;3,762985702;1,062985702;-7,235346405;-9,935346405;-4,535346405;1,35
2,75;3,80206098;1,05206098;-7,26349696;-10,01349696;-4,51349696;1,375
2,8;3,841311123;1,041311123;-7,291997246;-10,09199725;-4,491997246;1,4
2,85;3,880733088;1,030733088;-7,320841176;-10,17084118;-4,470841176;1,425
2,9;3,920323865;1,020323865;-7,350022731;-10,25002273;-4,450022731;1,45
2,95;3,960080482;1,010080482;-7,379535963;-10,32953596;-4,429535963;1,475
3;4;1;-7,409375;-10,409375;-4,409375;1,5
3,05;4,040079522;0,990079522;-7,439534043;-10,48953404;-4,389534043;1,525
3,1;4,080316186;0,980316186;-7,470007372;-10,57000737;-4,370007372;1,55
3,15;4,120707171;0,970707171;-7,500789342;-10,65078934;-4,350789342;1,575
3,2;4,161249695;0,961249695;-7,53187439;-10,73187439;-4,33187439;1,6
3,25;4,201941016;0,951941016;-7,563257032;-10,81325703;-4,313257032;1,625
3,3;4,242778432;0,942778432;-7,594931865;-10,89493186;-4,294931865;1,65
3,35;4,283759284;0,933759284;-7,626893567;-10,97689357;-4,276893567;1,675
3,4;4,32488095;0,92488095;-7,659136899;-11,0591369;-4,259136899;1,7
3,45;4,366140852;0,916140852;-7,691656704;-11,1416567;-4,241656704;1,725
3,5;4,407536453;0,907536453;-7,724447906;-11,22444791;-4,224447906;1,75
3,55;4,449065257;0,899065257;-7,757505514;-11,30750551;-4,207505514;1,775
3,6;4,490724809;0,890724809;-7,790824619;-11,39082462;-4,190824619;1,8
3,65;4,532512696;0,882512696;-7,824400392;-11,47440039;-4,174400392;1,825
3,7;4,574426545;0,874426545;-7,85822809;-11,55822809;-4,15822809;1,85
3,75;4,616464025;0,866464025;-7,89230305;-11,64230305;-4,14230305;1,875
3,8;4,658622845;0,858622845;-7,92662069;-11,72662069;-4,12662069;1,9
3,85;4,700900755;0,850900755;-7,961176509;-11,81117651;-4,111176509;1,925
3,9;4,743295545;0,843295545;-7,995966089;-11,89596609;-4,095966089;1,95
3,95;4,785805045;0,835805045;-8,03098509;-11,98098509;-4,08098509;1,975
4;4,828427125;0,828427125;-8,066229249;-12,06622925;-4,066229249;2
4,05;4,871159693;0,821159693;-8,101694387;-12,15169439;-4,051694387;2,025
4,1;4,914000698;0,814000698;-8,137376397;-12,2373764;-4,037376397;2,05
4,15;4,956948126;0,806948126;-8,173271252;-12,32327125;-4,023271252;2,075
4,2;5;0,8;-8,209375;-12,409375;-4,009375;2,1
4,25;5,043154382;0,793154382;-8,245683765;-12,49568376;-3,995683765;2,125
4,3;5,086409372;0,786409372;-8,282193744;-12,58219374;-3,982193744;2,15
4,35;5,129763104;0,779763104;-8,318901208;-12,66890121;-3,968901208;2,175
4,4;5,173213749;0,773213749;-8,355802499;-12,7558025;-3,955802499;2,2
4,45;5,216759516;0,766759516;-8,392894031;-12,84289403;-3,942894031;2,225
4,5;5,260398645;0,760398645;-8,430172289;-12,93017229;-3,930172289;2,25
4,55;5,304129413;0,754129413;-8,467633826;-13,01763383;-3,917633826;2,275
4,6;5,347950131;0,747950131;-8,505275262;-13,10527526;-3,905275262;2,3
4,65;5,391859143;0,741859143;-8,543093285;-13,19309329;-3,893093285;2,325
4,7;5,435854825;0,735854825;-8,58108465;-13,28108465;-3,88108465;2,35
4,75;5,479935587;0,729935587;-8,619246174;-13,36924617;-3,869246174;2,375
4,8;5,52409987;0,72409987;-8,657574741;-13,45757474;-3,857574741;2,4
4,85;5,568346147;0,718346147;-8,696067294;-13,54606729;-3,846067294;2,425
4,9;5,61267292;0,71267292;-8,73472084;-13,63472084;-3,83472084;2,45
4,95;5,657078723;0,707078723;-8,773532446;-13,72353245;-3,823532446;2,475
5;5,701562119;0,701562119;-8,812499237;-13,81249924;-3,812499237;2,5
5,05;5,746121699;0,696121699;-8,851618398;-13,9016184;-3,801618398;2,525
5,1;5,790756085;0,690756085;-8,890887169;-13,99088717;-3,790887169;2,55
5,15;5,835463924;0,685463924;-8,930302848;-14,08030285;-3,780302848;2,575
5,2;5,880243893;0,680243893;-8,969862787;-14,16986279;-3,769862787;2,6
5,25;5,925094696;0,675094696;-9,009564391;-14,25956439;-3,759564391;2,625
5,3;5,97001506;0,67001506;-9,04940512;-14,34940512;-3,74940512;2,65
5,35;6,015003743;0,665003743;-9,089382485;-14,43938249;-3,739382485;2,675
5,4;6,060059523;0,660059523;-9,129494047;-14,52949405;-3,729494047;2,7
5,45;6,105181208;0,655181208;-9,169737416;-14,61973742;-3,719737416;2,725
5,5;6,150367627;0,650367627;-9,210110254;-14,71011025;-3,710110254;2,75
5,55;6,195617634;0,645617634;-9,250610269;-14,80061027;-3,700610269;2,775
5,6;6,240930107;0,640930107;-9,291235214;-14,89123521;-3,691235214;2,8
5,65;6,286303945;0,636303945;-9,33198289;-14,98198289;-3,68198289;2,825
5,7;6,331738072;0,631738072;-9,372851143;-15,07285114;-3,672851143;2,85
5,75;6,377231432;0,627231432;-9,413837863;-15,16383786;-3,663837863;2,875
5,8;6,422782991;0,622782991;-9,454940982;-15,25494098;-3,654940982;2,9
5,85;6,468391737;0,618391737;-9,496158473;-15,34615847;-3,646158473;2,925
5,9;6,514056677;0,614056677;-9,537488355;-15,43748835;-3,637488355;2,95
5,95;6,559776841;0,609776841;-9,578928682;-15,52892868;-3,628928682;2,975
6;6,605551275;0,605551275;-9,620477551;-15,62047755;-3,620477551;3
