Wp;Wpolar+;Wpolar-;Dist(W+ + W-);2W+;2W-;
0,000000001;2;2;-6,128125;-6,128125;-6,128125;5E-10
0,000001;2,0000005;1,9999995;-6,128125;-6,128126;-6,128124;0,0000005
0,0001;2,000050001;1,999950001;-6,128125001;-6,128225001;-6,128025001;0,00005
0,001;2,000500062;1,999500063;-6,128125125;-6,129125125;-6,127125125;0,0005
0,1;2,050624902;1,950624902;-6,129374805;-6,229374805;-6,029374805;0,05
0,15;2,076405756;1,926405756;-6,130936512;-6,280936512;-5,980936512;0,075
0,2;2,102498439;1,902498439;-6,133121879;-6,333121879;-5,933121879;0,1
0,25;2,128902443;1,878902443;-6,135929885;-6,385929885;-5,885929885;0,125
0,3;2,155617112;1,855617112;-6,139359224;-6,439359224;-5,839359224;0,15
0,35;2,182641651;1,832641651;-6,143408303;-6,493408303;-5,793408303;0,175
0,4;2,209975124;1,809975124;-6,148075248;-6,548075248;-5,748075248;0,2
0,45;2,237616456;1,787616456;-6,153357913;-6,603357913;-5,703357913;0,225
0,5;2,265564437;1,765564437;-6,159253874;-6,659253874;-5,659253874;0,25
0,55;2,293817723;1,743817723;-6,165760447;-6,715760447;-5,615760447;0,275
0,6;2,322374842;1,722374842;-6,172874683;-6,772874683;-5,572874683;0,3
0,65;2,351234192;1,701234192;-6,180593384;-6,830593384;-5,530593384;0,325
0,7;2,38039405;1,68039405;-6,188913101;-6,888913101;-5,488913101;0,35
0,75;2,409852575;1,659852575;-6,197830149;-6,947830149;-5,447830149;0,375
0,8;2,439607805;1,639607805;-6,207340611;-7,007340611;-5,407340611;0,4
0,85;2,469657673;1,619657673;-6,217440346;-7,067440346;-5,367440346;0,425
0,9;2,5;1,6;-6,228125;-7,128125;-5,328125;0,45
0,95;2,530632506;1,580632506;-6,239390012;-7,189390012;-5,289390012;0,475
1;2,561552813;1,561552813;-6,251230626;-7,251230626;-5,251230626;0,5
1,05;2,592758448;1,542758448;-6,263641896;-7,313641896;-5,213641896;0,525
1,1;2,624246851;1,524246851;-6,276618703;-7,376618703;-5,176618703;0,55
1,15;2,656015377;1,506015377;-6,290155754;-7,440155754;-5,140155754;0,575
1,2;2,688061302;1,488061302;-6,304247604;-7,504247604;-5,104247604;0,6
1,25;2,720381827;1,470381827;-6,318888654;-7,568888654;-5,068888654;0,625
1,3;2,752974084;1,452974084;-6,334073169;-7,634073169;-5,034073169;0,65
1,35;2,785835143;1,435835143;-6,349795286;-7,699795286;-4,999795286;0,675
1,4;2,81896201;1,41896201;-6,36604902;-7,76604902;-4,96604902;0,7
1,45;2,85235164;1,40235164;-6,38282828;-7,83282828;-4,93282828;0,725
1,5;2,886000936;1,386000936;-6,400126873;-7,900126873;-4,900126873;0,75
1,55;2,919906758;1,369906758;-6,417938516;-7,967938516;-4,867938516;0,775
1,6;2,954065923;1,354065923;-6,436256846;-8,036256846;-4,836256846;0,8
1,65;2,988475214;1,338475214;-6,455075427;-8,105075427;-4,805075427;0,825
1,7;3,023131381;1,323131381;-6,474387762;-8,174387762;-4,774387762;0,85
1,75;3,05803115;1,30803115;-6,494187299;-8,244187299;-4,744187299;0,875
1,8;3,09317122;1,29317122;-6,51446744;-8,31446744;-4,71446744;0,9
1,85;3,128548275;1,278548275;-6,53522155;-8,38522155;-4,68522155;0,925
1,9;3,164158983;1,264158983;-6,556442965;-8,456442965;-4,656442965;0,95
1,95;3,2;1,25;-6,578125;-8,528125;-4,628125;0,975
2;3,236067977;1,236067977;-6,600260955;-8,600260955;-4,600260955;1
2,05;3,272359562;1,222359562;-6,622844124;-8,672844124;-4,572844124;1,025
2,1;3,3088714;1,2088714;-6,645867799;-8,745867799;-4,545867799;1,05
2,15;3,345600141;1,195600141;-6,669325282;-8,819325282;-4,519325282;1,075
2,2;3,382542442;1,182542442;-6,693209884;-8,893209884;-4,493209884;1,1
2,25;3,419694969;1,169694969;-6,717514938;-8,967514938;-4,467514938;1,125
2,3;3,457054399;1,157054399;-6,742233798;-9,042233798;-4,442233798;1,15
2,35;3,494617425;1,144617425;-6,767359851;-9,117359851;-4,417359851;1,175
2,4;3,532380758;1,132380758;-6,792886516;-9,192886516;-4,392886516;1,2
2,45;3,570341127;1,120341127;-6,818807253;-9,268807253;-4,368807253;1,225
2,5;3,608495283;1,108495283;-6,845115566;-9,345115566;-4,345115566;1,25
2,55;3,646840003;1,096840003;-6,871805006;-9,421805006;-4,321805006;1,275
2,6;3,685372088;1,085372088;-6,898869177;-9,498869177;-4,298869177;1,3
2,65;3,724088369;1,074088369;-6,926301737;-9,576301737;-4,276301737;1,325
2,7;3,762985702;1,062985702;-6,954096405;-9,654096405;-4,254096405;1,35
2,75;3,80206098;1,05206098;-6,98224696;-9,73224696;-4,23224696;1,375
2,8;3,841311123;1,041311123;-7,010747246;-9,810747246;-4,210747246;1,4
2,85;3,880733088;1,030733088;-7,039591176;-9,889591176;-4,189591176;1,425
2,9;3,920323865;1,020323865;-7,068772731;-9,968772731;-4,168772731;1,45
2,95;3,960080482;1,010080482;-7,098285963;-10,04828596;-4,148285963;1,475
3;4;1;-7,128125;-10,128125;-4,128125;1,5
3,05;4,040079522;0,990079522;-7,158284043;-10,20828404;-4,108284043;1,525
3,1;4,080316186;0,980316186;-7,188757372;-10,28875737;-4,088757372;1,55
3,15;4,120707171;0,970707171;-7,219539342;-10,36953934;-4,069539342;1,575
3,2;4,161249695;0,961249695;-7,25062439;-10,45062439;-4,05062439;1,6
3,25;4,201941016;0,951941016;-7,282007032;-10,53200703;-4,032007032;1,625
3,3;4,242778432;0,942778432;-7,313681865;-10,61368186;-4,013681865;1,65
3,35;4,283759284;0,933759284;-7,345643567;-10,69564357;-3,995643567;1,675
3,4;4,32488095;0,92488095;-7,377886899;-10,7778869;-3,977886899;1,7
3,45;4,366140852;0,916140852;-7,410406704;-10,8604067;-3,960406704;1,725
3,5;4,407536453;0,907536453;-7,443197906;-10,94319791;-3,943197906;1,75
3,55;4,449065257;0,899065257;-7,476255514;-11,02625551;-3,926255514;1,775
3,6;4,490724809;0,890724809;-7,509574619;-11,10957462;-3,909574619;1,8
3,65;4,532512696;0,882512696;-7,543150392;-11,19315039;-3,893150392;1,825
3,7;4,574426545;0,874426545;-7,57697809;-11,27697809;-3,87697809;1,85
3,75;4,616464025;0,866464025;-7,61105305;-11,36105305;-3,86105305;1,875
3,8;4,658622845;0,858622845;-7,64537069;-11,44537069;-3,84537069;1,9
3,85;4,700900755;0,850900755;-7,679926509;-11,52992651;-3,829926509;1,925
3,9;4,743295545;0,843295545;-7,714716089;-11,61471609;-3,814716089;1,95
3,95;4,785805045;0,835805045;-7,74973509;-11,69973509;-3,79973509;1,975
4;4,828427125;0,828427125;-7,784979249;-11,78497925;-3,784979249;2
4,05;4,871159693;0,821159693;-7,820444387;-11,87044439;-3,770444387;2,025
4,1;4,914000698;0,814000698;-7,856126397;-11,9561264;-3,756126397;2,05
4,15;4,956948126;0,806948126;-7,892021252;-12,04202125;-3,742021252;2,075
4,2;5;0,8;-7,928125;-12,128125;-3,728125;2,1
4,25;5,043154382;0,793154382;-7,964433765;-12,21443376;-3,714433765;2,125
4,3;5,086409372;0,786409372;-8,000943744;-12,30094374;-3,700943744;2,15
4,35;5,129763104;0,779763104;-8,037651208;-12,38765121;-3,687651208;2,175
4,4;5,173213749;0,773213749;-8,074552499;-12,4745525;-3,674552499;2,2
4,45;5,216759516;0,766759516;-8,111644031;-12,56164403;-3,661644031;2,225
4,5;5,260398645;0,760398645;-8,148922289;-12,64892229;-3,648922289;2,25
