Wp;Wpolar+;Wpolar-;Dist(W+ + W-);2W+;2W-;
0,000000001;2;2;-8,125;-8,125;-8,125;5E-10
0,000001;2,0000005;1,9999995;-8,125;-8,125001;-8,124999;0,0000005
0,0001;2,000050001;1,999950001;-8,125000001;-8,125100001;-8,124900001;0,00005
0,001;2,000500062;1,999500063;-8,125000125;-8,126000125;-8,124000125;0,0005
0,1;2,050624902;1,950624902;-8,126249805;-8,226249805;-8,026249805;0,05
0,15;2,076405756;1,926405756;-8,127811512;-8,277811512;-7,977811512;0,075
0,2;2,102498439;1,902498439;-8,129996879;-8,329996879;-7,929996879;0,1
0,25;2,128902443;1,878902443;-8,132804885;-8,382804885;-7,882804885;0,125
0,3;2,155617112;1,855617112;-8,136234224;-8,436234224;-7,836234224;0,15
0,35;2,182641651;1,832641651;-8,140283303;-8,490283303;-7,790283303;0,175
0,4;2,209975124;1,809975124;-8,144950248;-8,544950248;-7,744950248;0,2
0,45;2,237616456;1,787616456;-8,150232913;-8,600232913;-7,700232913;0,225
0,5;2,265564437;1,765564437;-8,156128874;-8,656128874;-7,656128874;0,25
0,55;2,293817723;1,743817723;-8,162635447;-8,712635447;-7,612635447;0,275
0,6;2,322374842;1,722374842;-8,169749683;-8,769749683;-7,569749683;0,3
0,65;2,351234192;1,701234192;-8,177468384;-8,827468384;-7,527468384;0,325
0,7;2,38039405;1,68039405;-8,185788101;-8,885788101;-7,485788101;0,35
0,75;2,409852575;1,659852575;-8,194705149;-8,944705149;-7,444705149;0,375
0,8;2,439607805;1,639607805;-8,204215611;-9,004215611;-7,404215611;0,4
0,85;2,469657673;1,619657673;-8,214315346;-9,064315346;-7,364315346;0,425
0,9;2,5;1,6;-8,225;-9,125;-7,325;0,45
0,95;2,530632506;1,580632506;-8,236265012;-9,186265012;-7,286265012;0,475
1;2,561552813;1,561552813;-8,248105626;-9,248105626;-7,248105626;0,5
1,05;2,592758448;1,542758448;-8,260516896;-9,310516896;-7,210516896;0,525
1,1;2,624246851;1,524246851;-8,273493703;-9,373493703;-7,173493703;0,55
1,15;2,656015377;1,506015377;-8,287030754;-9,437030754;-7,137030754;0,575
1,2;2,688061302;1,488061302;-8,301122604;-9,501122604;-7,101122604;0,6
1,25;2,720381827;1,470381827;-8,315763654;-9,565763654;-7,065763654;0,625
1,3;2,752974084;1,452974084;-8,330948169;-9,630948169;-7,030948169;0,65
1,35;2,785835143;1,435835143;-8,346670286;-9,696670286;-6,996670286;0,675
1,4;2,81896201;1,41896201;-8,36292402;-9,76292402;-6,96292402;0,7
1,45;2,85235164;1,40235164;-8,37970328;-9,82970328;-6,92970328;0,725
1,5;2,886000936;1,386000936;-8,397001873;-9,897001873;-6,897001873;0,75
1,55;2,919906758;1,369906758;-8,414813516;-9,964813516;-6,864813516;0,775
1,6;2,954065923;1,354065923;-8,433131846;-10,03313185;-6,833131846;0,8
1,65;2,988475214;1,338475214;-8,451950427;-10,10195043;-6,801950427;0,825
1,7;3,023131381;1,323131381;-8,471262762;-10,17126276;-6,771262762;0,85
1,75;3,05803115;1,30803115;-8,491062299;-10,2410623;-6,741062299;0,875
1,8;3,09317122;1,29317122;-8,51134244;-10,31134244;-6,71134244;0,9
1,85;3,128548275;1,278548275;-8,53209655;-10,38209655;-6,68209655;0,925
1,9;3,164158983;1,264158983;-8,553317965;-10,45331797;-6,653317965;0,95
1,95;3,2;1,25;-8,575;-10,525;-6,625;0,975
2;3,236067977;1,236067977;-8,597135955;-10,59713595;-6,597135955;1
2,05;3,272359562;1,222359562;-8,619719124;-10,66971912;-6,569719124;1,025
2,1;3,3088714;1,2088714;-8,642742799;-10,7427428;-6,542742799;1,05
2,15;3,345600141;1,195600141;-8,666200282;-10,81620028;-6,516200282;1,075
2,2;3,382542442;1,182542442;-8,690084884;-10,89008488;-6,490084884;1,1
2,25;3,419694969;1,169694969;-8,714389938;-10,96438994;-6,464389938;1,125
2,3;3,457054399;1,157054399;-8,739108798;-11,0391088;-6,439108798;1,15
2,35;3,494617425;1,144617425;-8,764234851;-11,11423485;-6,414234851;1,175
2,4;3,532380758;1,132380758;-8,789761516;-11,18976152;-6,389761516;1,2
2,45;3,570341127;1,120341127;-8,815682253;-11,26568225;-6,365682253;1,225
2,5;3,608495283;1,108495283;-8,841990566;-11,34199057;-6,341990566;1,25
2,55;3,646840003;1,096840003;-8,868680006;-11,41868001;-6,318680006;1,275
2,6;3,685372088;1,085372088;-8,895744177;-11,49574418;-6,295744177;1,3
2,65;3,724088369;1,074088369;-8,923176737;-11,57317674;-6,273176737;1,325
2,7;3,762985702;1,062985702;-8,950971405;-11,6509714;-6,250971405;1,35
2,75;3,80206098;1,05206098;-8,97912196;-11,72912196;-6,22912196;1,375
2,8;3,841311123;1,041311123;-9,007622246;-11,80762225;-6,207622246;1,4
2,85;3,880733088;1,030733088;-9,036466176;-11,88646618;-6,186466176;1,425
2,9;3,920323865;1,020323865;-9,065647731;-11,96564773;-6,165647731;1,45
2,95;3,960080482;1,010080482;-9,095160963;-12,04516096;-6,145160963;1,475
3;4;1;-9,125;-12,125;-6,125;1,5
3,05;4,040079522;0,990079522;-9,155159043;-12,20515904;-6,105159043;1,525
3,1;4,080316186;0,980316186;-9,185632372;-12,28563237;-6,085632372;1,55
3,15;4,120707171;0,970707171;-9,216414342;-12,36641434;-6,066414342;1,575
3,2;4,161249695;0,961249695;-9,24749939;-12,44749939;-6,04749939;1,6
3,25;4,201941016;0,951941016;-9,278882032;-12,52888203;-6,028882032;1,625
3,3;4,242778432;0,942778432;-9,310556865;-12,61055686;-6,010556865;1,65
3,35;4,283759284;0,933759284;-9,342518567;-12,69251857;-5,992518567;1,675
3,4;4,32488095;0,92488095;-9,374761899;-12,7747619;-5,974761899;1,7
3,45;4,366140852;0,916140852;-9,407281704;-12,8572817;-5,957281704;1,725
3,5;4,407536453;0,907536453;-9,440072906;-12,94007291;-5,940072906;1,75
3,55;4,449065257;0,899065257;-9,473130514;-13,02313051;-5,923130514;1,775
3,6;4,490724809;0,890724809;-9,506449619;-13,10644962;-5,906449619;1,8
3,65;4,532512696;0,882512696;-9,540025392;-13,19002539;-5,890025392;1,825
3,7;4,574426545;0,874426545;-9,57385309;-13,27385309;-5,87385309;1,85
3,75;4,616464025;0,866464025;-9,60792805;-13,35792805;-5,85792805;1,875
3,8;4,658622845;0,858622845;-9,64224569;-13,44224569;-5,84224569;1,9
3,85;4,700900755;0,850900755;-9,676801509;-13,52680151;-5,826801509;1,925
3,9;4,743295545;0,843295545;-9,711591089;-13,61159109;-5,811591089;1,95
3,95;4,785805045;0,835805045;-9,74661009;-13,69661009;-5,79661009;1,975
4;4,828427125;0,828427125;-9,781854249;-13,78185425;-5,781854249;2
4,05;4,871159693;0,821159693;-9,817319387;-13,86731939;-5,767319387;2,025
4,1;4,914000698;0,814000698;-9,853001397;-13,9530014;-5,753001397;2,05
4,15;4,956948126;0,806948126;-9,888896252;-14,03889625;-5,738896252;2,075
4,2;5;0,8;-9,925;-14,125;-5,725;2,1
4,25;5,043154382;0,793154382;-9,961308765;-14,21130876;-5,711308765;2,125
4,3;5,086409372;0,786409372;-9,997818744;-14,29781874;-5,697818744;2,15
4,35;5,129763104;0,779763104;-10,03452621;-14,38452621;-5,684526208;2,175
4,4;5,173213749;0,773213749;-10,0714275;-14,4714275;-5,671427499;2,2
4,45;5,216759516;0,766759516;-10,10851903;-14,55851903;-5,658519031;2,225
4,5;5,260398645;0,760398645;-10,14579729;-14,64579729;-5,645797289;2,25
4,55;5,304129413;0,754129413;-10,18325883;-14,73325883;-5,633258826;2,275
4,6;5,347950131;0,747950131;-10,22090026;-14,82090026;-5,620900262;2,3
4,65;5,391859143;0,741859143;-10,25871829;-14,90871829;-5,608718285;2,325
