# omega;Arpes occ;Arpes tot
-15;6.16749329900103e-07;8.64769717318659e-07
-14.990625;6.11581866603508e-07;8.43312433623478e-07
-14.98125;6.0384397323035e-07;8.18893002284471e-07
-14.971875;5.93599946461971e-07;7.91717172750166e-07
-14.9625;5.80935478040054e-07;7.62014125018701e-07
-14.953125;5.65956959746122e-07;7.3003455611769e-07
-14.94375;5.48790599339019e-07;6.96048569330109e-07
-14.934375;5.29581368053602e-07;6.60343397045098e-07
-14.925;5.08491803842556e-07;6.23221004866075e-07
-14.915625;4.85700639212104e-07;5.84995532975809e-07
-14.90625;4.61401311472302e-07;5.45990661389536e-07
-14.896875;4.35800328958222e-07;5.06536870878098e-07
-14.8875;4.09115538566826e-07;4.66968667837477e-07
-14.878125;3.81574285791936e-07;4.2762175326394e-07
-14.86875;3.53411491726887e-07;3.88830189322781e-07
-14.859375;3.24867670703306e-07;3.50923578118171e-07
-14.85;2.9618688825162e-07;3.14224272771561e-07
-14.840625;2.67614691991805e-07;2.79044646533313e-07
-14.83125;2.39396028997536e-07;2.45684454306485e-07
-14.821875;2.11773158080471e-07;2.14428284416855e-07
-14.8125;1.84983591796061e-07;1.8554315034178e-07
-14.803125;1.59258064288732e-07;1.59276212373377e-07
-14.79375;1.34818568305047e-07;1.35852687928485e-07
-14.784375;1.11876454200516e-07;1.15473929461852e-07
-14.775;9.06306149520192e-08;9.83156997936658e-08
-14.765625;7.12657840718145e-08;8.45266761164991e-08
-14.75625;5.39509449723817e-08;7.42271731711961e-08
-14.746875;3.88378731671963e-08;6.75081054107646e-08
-14.7375;2.6059822990338e-08;6.44301964897493e-08
-14.728125;1.57303690596922e-08;6.50234436284723e-08
-14.71875;7.94241872020659e-09;6.928684743491e-08
-14.709375;2.76739047934852e-09;7.71883906646953e-08
-14.7;2.54577992028152e-10;8.86652854931038e-08
-14.690625;4.30703238749068e-10;1.03624485635013e-07
-14.68125;3.2996592418662e-09;1.21943447170934e-07
-14.671875;8.84244385081552e-09;1.43471141000114e-07
-14.6625;1.70172946057483e-08;1.68029309412741e-07
-14.653125;2.77600030870202e-08;1.95413942634712e-07
-14.64375;4.09844454554843e-08;2.25396999549179e-07
-14.634375;5.65832700027932e-08;2.57728295618212e-07
-14.625;7.44287940139935e-08;2.92137619439163e-07
-14.615625;9.43740458141114e-08;3.2833697871192e-07
-14.60625;1.16254004675709e-07;3.66023038911157e-07
-14.596875;1.3988696698629e-07;4.04879662408931e-07
-14.5875;1.65076075682943e-07;4.44580574752015e-07
-14.578125;1.91610965315694e-07;4.8479210820153e-07
-14.56875;2.19269539650666e-07;5.25176020502322e-07
-14.559375;2.47819839087339e-07;5.65392345655667e-07
-14.55;2.77022000952839e-07;6.05102267400139e-07
-14.540625;3.06630288676784e-07;6.43970981365276e-07
-14.53125;3.36395169935982e-07;6.81670526862761e-07
-14.521875;3.66065436374808e-07;7.17882565787182e-07
-14.5125;3.95390335455768e-07;7.52301078642849e-07
-14.503125;4.24121704892295e-07;7.84634962424812e-07
-14.49375;4.52016086022631e-07;8.14610502005512e-07
-14.484375;4.7883679866132e-07;8.41973697467392e-07
-14.475;5.04355966912426e-07;8.66492427752821e-07
-14.465625;5.2835646904704e-07;8.8795843333554e-07
-14.45625;5.50633794897721e-07;9.06189090240927e-07
-14.446875;5.70997808830969e-07;9.21028981796448e-07
-14.4375;5.89274384184367e-07;9.32351232355869e-07
-14.428125;6.05306913563542e-07;9.40058611638753e-07
-14.41875;6.18957648432204e-07;9.44084362108474e-07
-14.409375;6.30108925687787e-07;9.44392822235907e-07
-14.4;6.38664169560739e-07;9.40979721906794e-07
-14.390625;6.44548769837648e-07;9.33872278377437e-07
-14.38125;6.47710720909751e-07;9.23128960816653e-07
-14.371875;6.48121124683101e-07;9.0883905763995e-07
-14.3625;6.45774452650161e-07;8.91121927206472e-07
-14.353125;6.40688635020474e-07;8.70126027092339e-07
-14.34375;6.32904937873463e-07;8.46027678886063e-07
-14.334375;6.22487655594751e-07;8.1902961547181e-07
-14.325;6.09523590706228e-07;7.8935927979242e-07
-14.315625;5.94121350625587e-07;7.57266931263395e-07
-14.30625;5.76410462242651e-07;7.23023555176298e-07
-14.296875;5.56540296016493e-07;6.86918586613923e-07
-14.2875;5.34678827212342e-07;6.49257484270091e-07
-14.278125;5.11011235689818e-07;6.10359163781342e-07
-14.26875;4.85738358254165e-07;5.70553315734644e-07
-14.259375;4.59075005533808e-07;5.30177632213257e-07
-14.25;4.31248150368558e-07;4.89574954014019e-07
-14.240625;4.02495021600619e-07;4.4909038207957e-07
-14.23125;3.7306110357986e-07;4.09068368875636e-07
-14.221875;3.43198052659967e-07;3.69849792468633e-07
-14.2125;3.13161575506632e-07;3.31769086218271e-07
-14.203125;2.83209254221966e-07;2.95151395567643e-07
-14.19375;2.53598366570647e-07;2.60309833997726e-07
-14.184375;2.24583679038177e-07;2.27542800145403e-07
-14.175;1.964153029555e-07;1.97131473917253e-07
-14.165625;1.69336533240571e-07;1.69337392532352e-07
-14.15625;1.43581791948634e-07;1.44400246057917e-07
-14.146875;1.19374594651125e-07;1.22535799903552e-07
-14.1375;9.69256579413645e-08;1.03934079061655e-07
-14.128125;7.64310692308848e-08;8.87577110445232e-08
-14.11875;5.80706036184786e-08;7.71405367196202e-08
-14.109375;4.2006163338558e-08;6.91864393671389e-08
-14.1;2.83803797059792e-08;6.49684487210948e-08
-14.090625;1.73153616760932e-08;6.45280779996009e-08
-14.08125;8.91162681471871e-09;6.78749466070504e-08
-14.071875;3.24721472234185e-09;7.49866677609867e-08
-14.0625;3.76982653152365e-10;8.58089982738494e-08
-14.053125;3.32102901453125e-10;1.00256266397656e-07
-14.04375;3.11975951508266e-09;1.18212062078163e-07
-14.034375;8.72304865825067e-09;1.39530187786657e-07
-14.025;1.71010842242265e-08;1.64035864910332e-07
-14.015625;2.8189303453431e-08;1.91527176045544e-07
-14.00625;4.1899979320787e-08;2.21776743288083e-07
-13.996875;5.81229310290013e-08;2.5453362919168e-07
-13.9875;7.67264195578409e-08;2.89525420673322e-07
-13.978125;9.75582375515859e-08;3.26460519137181e-07
-13.96875;1.2044696745488e-07;3.6503057614794e-07
-13.959375;1.45203412708596e-07;4.04913092189143e-07
-13.95;1.71622165802461e-07;4.45774107814066e-07
-13.940625;1.99483348153187e-07;4.87271040008071e-07
-13.93125;2.28554436559771e-07;5.29055544622766e-07
-13.921875;2.58592238908374e-07;5.70776475596443e-07
-13.9125;2.89344925386246e-07;6.12082826057938e-07
-13.903125;3.20554175302645e-07;6.52626722059438e-07
-13.89375;3.51957353092288e-07;6.92066348023609e-07
-13.884375;3.83289738248814e-07;7.30068852761293e-07
-13.875;4.14286773962552e-07;7.66313167949672e-07
-13.865625;4.44686318975206e-07;8.00492742638635e-07
-13.85625;4.74230881208242e-07;8.32318145031308e-07
-13.846875;5.02669817693102e-07;8.61519534314018e-07
-13.8375;5.29761477384056e-07;8.87848962283852e-07
-13.828125;5.55275272939195e-07;9.11082494842524e-07
-13.81875;5.78993662804913e-07;9.31022135336973e-07
-13.809375;6.00714024281928e-07;9.47497528374652e-07
-13.8;6.20250402058278e-07;9.60367431720611e-07
-13.790625;6.37435120264945e-07;9.69520946244956e-07
-13.78125;6.52120242631781e-07;9.74878491738229e-07
-13.771875;6.64178862952766e-07;9.76392512442695e-07
-13.7625;6.7350622173654e-07;9.74047922183996e-07
-13.753125;6.8002063876416e-07;9.67862268370932e-07
-13.74375;6.83664246230699e-07;9.57885625593171e-07
-13.734375;6.84403521295693e-07;9.44200206359853e-07
-13.725;6.82229622726582e-07;9.26919718056003e-07
-13.715625;6.77158495619835e-07;9.06188420091244e-07
-13.70625;6.69230795941846e-07;8.8217996520561e-07
-13.696875;6.58511571141988e-07;8.55095944216126e-07
-13.6875;6.45089767133092e-07;8.25164238711519e-07
-13.678125;6.29077499025116e-07;7.92637105480784e-07
-13.66875;6.10609147666794e-07;7.57789090921788e-07
-13.659375;5.89840254169376e-07;7.20914729155748e-07
-13.65;5.66946230334485e-07;6.82326077752728e-07
-13.640625;5.42120907972255e-07;6.42350103614483e-07
-13.63125;5.15574915862293e-07;6.01325934342429e-07
-13.621875;4.87533922045891e-07;5.59602006145042e-07
-13.6125;4.58236742115256e-07;5.17533135478206e-07
-13.603125;4.27933324068799e-07;4.75477517191756e-07
-13.59375;3.96882645011124e-07;4.33793704749216e-07
-13.584375;3.65350526699427e-07;3.92837581404726e-07
-13.575;3.3360738283881e-07;3.52959344561806e-07
-13.565625;3.01925923215048e-07;3.14500534492726e-07
-13.55625;2.7057883998152e-07;2.7779113732063e-07
-13.546875;2.39836490764398e-07;2.43146784413081e-07
-13.5375;2.09964586345448e-07;2.10866054873903e-07
-13.528125;1.8122192165253e-07;1.81227932277978e-07
-13.51875;1.53858166884088e-07;1.54489423221892e-07
-13.509375;1.2811171724528e-07;1.30883348961778e-07
-13.5;1.0420764524212e-07;1.10616343467121e-07
-13.490625;8.23557665816979e-08;9.38670810921799e-08
-13.48125;6.27488157712006e-08;8.07847127452688e-08
-13.471875;4.55607835952958e-08;7.14875810429921e-08
-13.4625;3.0945388843117e-08;6.60621590444007e-08
-13.453125;1.90347456673081e-08;6.456229601143e-08
-13.44375;9.93818825450602e-09;6.70087008871836e-08
-13.434375;3.74130001858979e-09;7.33887308296077e-08
-13.425;5.05142369718502e-10;8.36564500841411e-08
-13.415625;2.6568294274306e-10;9.77329701877552e-08
-13.40625;3.0334505397868e-09;1.15507078441638e-07
-13.396875;8.79338646793844e-09;1.368361247636e-07
-13.3875;1.75049302849297e-08;1.61547189151311e-07
