;Arpes occ;Arpes tot
-15;4.71416815939217E-08;1.37649636941641E-07
-14.99765625;5.00015138965758E-08;1.44471756975357E-07
-14.9953125;5.29728106034247E-08;1.51481651020972E-07
-14.99296875;5.60540426273408E-08;1.58675616273202E-07
-14.990625;5.92436261920185E-08;1.66049858006007E-07
-14.98828125;6.25399180325838E-08;1.73600483412014E-07
-14.9859375;6.59412161614739E-08;1.81323503349743E-07
-14.98359375;6.94457625924737E-08;1.89214838920508E-07
-14.98125;7.30517461330667E-08;1.97270322771373E-07
-14.97890625;7.67572990000137E-08;2.05485698518408E-07
-14.9765625;8.05604995991189E-08;2.13856623192834E-07
-14.97421875;8.44593758540663E-08;2.2237867453119E-07
-14.971875;8.84519026982283E-08;2.31047347793621E-07
-14.96953125;9.25360023062088E-08;2.39858056575515E-07
-14.9671875;9.67095532596721E-08;2.48806146229381E-07
-14.96484375;1.00970380034091E-07;2.57886881144328E-07
-14.9625;1.05316262343305E-07;2.67095458615316E-07
-14.96015625;1.0974493550787E-07;2.76427009337827E-07
-14.9578125;1.14254087781778E-07;2.85876594627499E-07
-14.95546875;1.18841364236184E-07;2.95439214441074E-07
-14.953125;0.0000001235043697062;3.05109809467661E-07
-14.95078125;1.28240665720137E-07;3.14883261567833E-07
-14.9484375;1.33047773550195E-07;0.0000003247543955587
-14.94609375;1.37923177374696E-07;3.34717986084472E-07
-14.94375;1.42864325902017E-07;3.44768760901826E-07
-14.94140625;0.0000001478686273291;3.54901394338323E-07
-14.9390625;1.52933459805696E-07;3.65110522574443E-07
-14.93671875;1.58056168378728E-07;3.75390740685646E-07
-14.934375;1.63234062183998E-07;3.85736599772468E-07
-14.93203125;1.68464424846941E-07;3.96142622624947E-07
-14.9296875;1.73744509642368E-07;4.06603296581213E-07
-14.92734375;1.79071541062715E-07;4.17113077743411E-07
-14.925;1.84442718301612E-07;4.27666397572899E-07
-14.92265625;1.89855218432664E-07;4.38257664960125E-07
-14.9203125;1.95306193567579E-07;4.48881267006448E-07
-14.91796875;2.00792774104727E-07;4.59531571733706E-07
-14.915625;2.06312072856141E-07;4.70202935875312E-07
-14.91328125;2.11861182965504E-07;4.80889703017882E-07
-14.9109375;2.17437177984781E-07;4.91586204288308E-07
-14.90859375;2.23037122771863E-07;5.02286773104928E-07
-14.90625;2.28658061975151E-07;5.12985732166813E-07
-14.90390625;2.34297031052645E-07;5.23677408850565E-07
-14.9015625;2.39951056140664E-07;5.34356134704375E-07
-14.89921875;2.45617152218578E-07;5.45016244685704E-07
-14.896875;2.5129232745047E-07;5.55652084835253E-07
-14.89453125;2.56973586008895E-07;5.66258014346724E-07
-14.8921875;2.6265792586327E-07;5.76828406942604E-07
-14.88984375;2.68342341894431E-07;5.87357653178263E-07
-14.8875;2.74023829110867E-07;5.97840166039234E-07
-14.88515625;2.79699385167775E-07;6.08270386483479E-07
-14.8828125;2.85366005021617E-07;6.18642775934724E-07
-14.88046875;2.91020691766334E-07;6.28951831240471E-07
-14.878125;2.96660453826508E-07;6.39192082384768E-07
-14.87578125;3.02282302447848E-07;6.49358090135761E-07
-14.8734375;3.07883262266279E-07;6.59444461272149E-07
-14.87109375;3.13460366225082E-07;6.69445840673452E-07
-14.86875;3.19010657692735E-07;6.79356916597218E-07
-14.86640625;3.24531194234026E-07;6.89172426890415E-07
-14.8640625;3.30019050019082E-07;6.98887159849095E-07
-14.86171875;3.35471314165492E-07;7.0849595675205E-07
-14.859375;3.40885093103325E-07;7.17993712724728E-07
-14.85703125;3.46257515044219E-07;7.27375383993198E-07
-14.8546875;3.51585728347698E-07;7.36635987924983E-07
-14.85234375;3.56866900858309E-07;7.45770601231136E-07
-14.85;3.62098231195842E-07;7.54774374747598E-07
-14.84765625;3.67276937025157E-07;7.63642520847672E-07
-14.8453125;3.72400266347437E-07;7.72370327810499E-07
-14.84296875;3.77465496550088E-07;7.80953158038422E-07
-14.840625;3.82469933086876E-07;7.89386448281678E-07
-14.83828125;3.87410913486527E-07;7.97665715944198E-07
-14.8359375;3.92285809839601E-07;8.05786560039616E-07
-14.83359375;3.97092026923157E-07;8.13744662890722E-07
-14.83125;4.01827004289819E-07;8.21535791463579E-07
-14.82890625;4.06488220024369E-07;8.29155801416455E-07
-14.8265625;4.11073192640859E-07;8.36600643391448E-07
-14.82421875;4.15579475426588E-07;8.43866353275347E-07
-14.821875;4.20004667274276E-07;8.5094906707994E-07
-14.81953125;4.24346409253308E-07;8.57845017439071E-07
-14.8171875;4.28602382108894E-07;8.64550530980014E-07
-14.81484375;4.32770316109801E-07;8.71062042127259E-07
-14.8125;4.36847985928831E-07;8.77376083648642E-07
-14.81015625;4.40833212146485E-07;8.83489292654047E-07
-14.8078125;4.44723864994587E-07;8.89398414062946E-07
-14.80546875;4.4851786571188E-07;8.95100300734422E-07
-14.803125;4.52213184996561E-07;9.00591915970872E-07
-14.80078125;4.55807844663818E-07;9.05870332241316E-07
-14.7984375;4.59299921595422E-07;9.1093273716867E-07
-14.79609375;4.62687546082374E-07;9.15776433181468E-07
-14.79375;4.65968899874563E-07;9.20398834247009E-07
-14.79140625;4.69142227668058E-07;9.24797478990523E-07
-14.7890625;4.72205824206937E-07;9.28970017233726E-07
-14.78671875;4.75158045613269E-07;9.32914223325788E-07
-14.784375;4.77997307399879E-07;9.36627991795518E-07
-14.78203125;4.80722082688187E-07;9.40109337991026E-07
-14.7796875;4.83330905834881E-07;9.43356402090851E-07
-14.77734375;4.85822373550213E-07;9.4636744810665E-07
-14.775;4.88195143771663E-07;9.49140865555247E-07
-14.77265625;4.90447935684607E-07;9.51675168620099E-07
-14.7703125;4.92579533430101E-07;9.53968998112962E-07
-14.76796875;4.94588787202298E-07;9.5602112729437E-07
-14.765625;4.96474607321313E-07;9.57830450855523E-07
-14.76328125;4.98235973465777E-07;9.59395996765395E-07
-14.7609375;4.99871931281231E-07;9.60716922335454E-07
-14.75859375;5.01381588939888E-07;9.61792510440979E-07
-14.75625;5.02764126090174E-07;9.62622181095864E-07
-14.75390625;5.04018788123976E-07;9.63205479971171E-07
-14.7515625;5.05144886582012E-07;9.63542083801102E-07
-14.74921875;5.06141803069359E-07;9.63631802098963E-07
-14.746875;5.07008988237373E-07;9.63474574524096E-07
-14.74453125;5.07745960966362E-07;9.63070473122867E-07
-14.7421875;5.08352308303259E-07;9.62419699348827E-07
-14.73984375;5.08827688495444E-07;9.61522586458995E-07
-14.7375;5.09171829590626E-07;9.6037960041541E-07
-14.73515625;5.0938452541064E-07;9.58991332889385E-07
-14.7328125;5.09465646613026E-07;9.57358513210674E-07
-14.73046875;5.09415127035098E-07;9.5548199337747E-07
-14.728125;5.09232974552948E-07;9.53362760020493E-07
-14.72578125;5.08919267081682E-07;9.51001926969574E-07
-14.7234375;5.08474150840141E-07;9.48400735775045E-07
-14.72109375;5.0789784315007E-07;9.4556055779257E-07
-14.71875;5.07190631745599E-07;9.4248288997974E-07
-14.71640625;5.06352874119581E-07;9.39169356893793E-07
-14.7140625;5.05384995407282E-07;9.35621706830677E-07
-14.71171875;5.04287491804374E-07;9.31841812230949E-07
-14.709375;5.03060930464882E-07;9.27831674138689E-07
-14.70703125;5.01705943268159E-07;9.23593409823372E-07
-14.7046875;5.00223234185881E-07;9.19129261447426E-07
-14.70234375;4.98613575503668E-07;9.14441591562003E-07
-14.7;4.96877803860119E-07;9.09532878129818E-07
-14.69765625;4.95016827589553E-07;9.04405723191055E-07
-14.6953125;4.93031620219041E-07;8.99062840031048E-07
-14.69296875;4.90923220177259E-07;8.93507057648896E-07
-14.690625;4.88692734048346E-07;8.87741320003737E-07
-14.68828125;4.86341333683331E-07;8.81768681636976E-07
-14.6859375;4.8387025530178E-07;8.75592308839536E-07
-14.68359375;4.81280798369722E-07;8.69215474968915E-07
