# omega;Arpes occ;Arpes tot
-15;7.11144369709004e-08;2.99358294735707e-07
-14.990625;6.88362214097531e-08;3.17845792235135e-07
-14.98125;6.85931382796284e-08;3.38288542291913e-07
-14.971875;7.03893661100105e-08;3.60514251923024e-07
-14.9625;7.42115669416443e-08;3.84335433965834e-07
-14.953125;8.00289822644394e-08;4.09550981264942e-07
-14.94375;8.7793675061098e-08;4.35947851334497e-07
-14.934375;9.74409143433652e-08;4.63302850194523e-07
-14.925;1.08889719584455e-07;4.91384518547197e-07
-14.915625;1.22043520497304e-07;5.19955062495713e-07
-14.90625;1.36790973333947e-07;5.48772365193911e-07
-14.896875;1.53006882694904e-07;5.77592011357287e-07
-14.8875;1.70553268090764e-07;6.06169357147064e-07
-14.878125;1.89280511416353e-07;6.34261580158006e-07
-14.86875;2.09028629228896e-07;6.61629726680412e-07
-14.859375;2.29628619758148e-07;6.8804072953661e-07
-14.85;2.5090390354344e-07;7.13269374441965e-07
-14.840625;2.72671806756407e-07;7.37100192703281e-07
-14.83125;2.94745127438563e-07;7.59329293009548e-07
-14.821875;3.1693371677057e-07;7.79766073125196e-07
-14.8125;3.39046109351687e-07;7.98234845815542e-07
-14.803125;3.60891143460913e-07;8.1457631467179e-07
-14.79375;3.82279604986903e-07;8.28648934852612e-07
-14.784375;4.03025841494332e-07;8.40330113726459e-07
-14.775;4.229493496404e-07;8.49517252009033e-07
-14.765625;4.41876327385778e-07;8.56128626041579e-07
-14.75625;4.59641167755781e-07;8.6010408874113e-07
-14.746875;4.76087883766424e-07;8.61405590507124e-07
-14.7375;4.91071453324356e-07;8.60017515197019e-07
-14.728125;5.04459073873971e-07;8.55946826338078e-07
-14.71875;5.16131318431074e-07;8.49223029906879e-07
-14.709375;5.25983173187641e-07;8.39897940288676e-07
-14.7;5.33924951917989e-07;8.28045259445612e-07
-14.690625;5.39883096695219e-07;8.13759980951656e-07
-14.68125;5.43800819584046e-07;7.9715759748521e-07
-14.671875;5.45638624229543e-07;7.78373156911433e-07
-14.6625;5.4537466201126e-07;7.57560134612401e-07
-14.653125;5.43004957950267e-07;7.34889162266426e-07
