# omega;Arpes occ;Arpes tot
-15;4.43583098126901e-07;5.90406292869406e-07
-14.990625;4.5741194980926e-07;5.84593655658611e-07
-14.98125;4.69524829433148e-07;5.78172158009749e-07
-14.971875;4.79820397660967e-07;5.71194936246274e-07
-14.9625;4.88212792092306e-07;5.63719775812551e-07
-14.953125;4.94632384202615e-07;5.55808658541996e-07
-14.94375;4.9902638987001e-07;5.47527263046978e-07
-14.934375;5.01359337745984e-07;5.38944434000076e-07
-14.925;5.01613406208573e-07;5.30131651926745e-07
-14.915625;4.99788587588777e-07;5.21162444648887e-07
-14.90625;4.95902722711957e-07;5.12111811196917e-07
-14.896875;4.8999136531022e-07;5.03055609122227e-07
-14.8875;4.8210751445326e-07;4.94069961618952e-07
-14.878125;4.72321181491581e-07;4.85230636615528e-07
-14.86875;4.60718821409416e-07;4.76612441558832e-07
-14.859375;4.47402622124226e-07;4.68288624772242e-07
-14.85;4.32489659257197e-07;4.6033028659375e-07
-14.840625;4.16110917868747e-07;4.5280580109411e-07
-14.83125;3.98410206363736e-07;4.45780276543241e-07
-14.821875;3.79542946253902e-07;4.39315020398656e-07
-14.8125;3.59674875200123e-07;4.33467053772006e-07
-14.803125;3.38980645166767e-07;4.2828863821696e-07
-14.79375;3.17642359994946e-07;4.23826865881416e-07
-14.784375;2.95848036861244e-07;4.20123274307994e-07
-14.775;2.73790013385139e-07;4.17213501372904e-07
-14.765625;2.51663325897011e-07;4.15127003469501e-07
-14.75625;2.29664055350347e-07;4.13886812422112e-07
-14.746875;2.07987663311364e-07;4.13509345262447e-07
-14.7375;1.86827331213072e-07;4.14004267352578e-07
-14.728125;1.6637231544705e-07;4.15374407987885e-07
-14.71875;1.46806339521658e-07;4.17615740482507e-07
-14.709375;1.2830602235496e-07;4.20717402374458e-07
-14.7;1.11039367240836e-07;4.24661776913416e-07
-14.690625;9.51643281105225e-08;4.29424637599999e-07
-14.68125;8.08274503036043e-08;4.34975330602994e-07
-14.671875;6.81626122067749e-08;4.41277022045509e-07
-14.6625;5.72898702518169e-08;4.48286986879985e-07
-14.653125;4.83144165787941e-08;4.55956944821254e-07
-14.64375;4.13256726060306e-08;4.64233457266527e-07
-14.634375;3.63964980632278e-08;4.73058334517597e-07
-14.625;3.35825577558726e-08;4.823691216027e-07
-14.615625;3.29218143445464e-08;4.92099577285468e-07
-14.60625;3.44341898945744e-08;5.02180219813878e-07
-14.596875;3.81213651043022e-08;5.12538876918279e-07
-14.5875;4.3966741054621e-08;5.23101264772612e-07
-14.578125;5.19355509536597e-08;5.33791585745902e-07
-14.56875;6.19751305750714e-08;5.44533137123691e-07
-14.559375;7.40153386295545e-08;5.55248927743281e-07
-14.55;8.79691262557405e-08;5.65862299293944e-07
-14.540625;1.03733249882037e-07;5.76297540160269e-07
